sector,subsector_level1,subsector_level2,subsector_level3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ENERGY,Stationary Combustion Sources,Public Electricity and Heat Production ,,807.4325,474.5061,941.1585,1963.0331,1806.6419,2247.203,382.9931,750.8008,1491.8357,850.6267,1937.7853,2484.6607,951.7959,1022.6105,1255.5218,1338.1754,1522.5586,1144.9487,1486.126,1335.9347,1232.6946,778.8314,908.4248,832.4607
ENERGY,Stationary Combustion Sources,Petroleum Refining Industries  ,,1213.7036,1208.1347,1017.8607,702.7895,690.4089,566.7239,735.707,441.1467,413.7641,469.6325,416.9351,440.477,515.2472,491.2951,858.3677,497.6274,632.1003,637.7439,485.7708,581.9731,633.3854,520.8705,566.5028,518.7997
ENERGY,Stationary Combustion Sources,Mining and Upstream Oil and Gas Production  ,,2693.0259,1973.2724,1096.1048,1187.4364,1920.7349,3152.5779,4013.9195,2614.3962,3379.6448,4725.4861,3532.5311,5104.8693,5342.5734,5616.6163,5978.9984,5407.4935,6217,5930.2379,6051.7453,5866.1331,6052.532,6728.5813,6622.6965,6898.6756
ENERGY,Stationary Combustion Sources,Manufacturing Industries,,6521.3016,6190.9755,5566.8389,6019.0056,6211.0615,7028.4437,7615.4868,7131.9312,6642.729,7335.1621,7847.5523,7832.321,6771.0638,6860.1974,6529.57,6358.245,4736.063,4661.5903,4067.3902,4040.8136,4063.3162,4180.8927,4288.2957,4430.0322
ENERGY,Stationary Combustion Sources,Construction,,307.4804,270.7093,321.4349,344.3293,286.3723,201.0272,209.2582,127.1087,101.5764,86.7292,76.6511,72.4039,75.9952,84.1111,104.4271,112.1492,119.4069,125.4873,104.5805,63.0562,81.891,188.4811,190.8913,162.0876
ENERGY,Stationary Combustion Sources,Commercial and Institutional,,2853.6876,3115.0361,3223.9315,3613.6726,3339.118,3415.6399,3456.1181,3335.3337,2945.1996,3038.034,3455.7661,3455.3985,4058.6317,3308.5195,3184.5848,3030.3043,2995.6653,2921.4044,3104.665,2756.3987,2510.8033,2831.8168,2817.9902,2592.6857
ENERGY,Stationary Combustion Sources,Residential,,4738.9759,4615.3969,4490.7535,4994.0436,4801.2311,4800.9009,5311.3619,4888.7805,4824.5052,5137.2225,4972.0742,4923.937,4678.2674,4453.9214,4418.1531,4843.4293,4930.2693,4882.8686,4783.807,4753.1677,3982.7516,4759.2216,4432.0708,4373.8528
ENERGY,Stationary Combustion Sources,Agriculture and Forestry,,323.3862,375.2879,372.8434,374.8531,202.7891,153.5256,188.6841,269.6222,252.1529,262.7708,318.6693,363.8909,131.4692,85.0853,73.1761,72.5949,74.37,71.934,60.2979,46.7221,307.0834,278.1577,385.097,383.1451
ENERGY,Transport,Domestic Aviation,,1336.6577,1201.8151,1186.5589,1132.0951,1192.1825,1295.6189,1466.551,1492.168,1591.2423,1638.7619,1594.1798,1423.3836,1388.6192,1392.0975,1520.704,1565.0445,1525.3425,1490.3639,1405.4956,1250.2068,1195.077,1118.8508,1295.0016,1324.3345
ENERGY,Transport,Road Transportation,Light-Duty Gasoline Vehicles,3774.5267,3893.9113,4010.6644,4186.0839,4265.8506,4372.8892,4386.2535,4442.6033,4396.5375,4484.7865,4419.139,4319.2734,4320.1967,4276.5466,4405.2208,4200.8787,4119.9487,4098.797,4063.0521,4135.6919,3967.5346,3638.7542,3610.6126,3879.8169
ENERGY,Transport,Road Transportation,Light-Duty Gasoline Trucks,2155.6008,2353.3314,2570.6695,2873.4273,3134.5356,3360.8692,3562.5129,3864.6673,4182.0912,4412.8493,4490.3412,4569.6131,4658.3439,4689.0928,4937.4687,4778.4603,4691.2924,4678.9131,4647.5431,4739.8561,4553.3679,4177.8177,4156.9927,4466.9461
ENERGY,Transport,Road Transportation,Heavy-Duty Gasoline Vehicles,2250.3442,2110.6696,2041.562,2092.6066,2157.443,2009.0026,1919.152,1931.2972,1979.6829,1819.2648,1835.5257,1725.9416,1670.5676,1781.8787,1857.3505,1793.9241,1778.3907,1790.8064,1797.0155,1850.3548,1792.2728,1661.1169,1664.793,1805.3138
ENERGY,Transport,Road Transportation,Motorcycles,19.3531,18.4568,17.432,16.7582,15.5051,14.4638,13.1859,13.381,16.4972,15.5164,17.753,19.668,21.6177,23.4457,27.7565,29.0601,28.8568,29.0372,29.1303,29.9837,29.0326,26.8922,26.9337,29.2006
ENERGY,Transport,Road Transportation,Light-Duty Diesel Vehicles,34.6901,35.5103,35.9441,38.283,38.1026,38.972,40.5537,42.4589,47.2827,49.9324,51.3092,51.4671,54.3378,53.3362,59.8323,64.0161,63.1464,66.8414,71.2193,78.8197,83.4531,81.6233,84.88,93.7452
ENERGY,Transport,Road Transportation,Light-Duty Diesel Trucks,40.5105,46.4027,48.2345,51.9487,62.9565,73.3452,75.8927,74.8277,81.2102,80.9718,72.7107,59.9956,51.5003,57.7348,59.7769,59.0522,58.8239,59.9026,60.2149,63.5366,63.8926,59.301,59.826,64.1741
ENERGY,Transport,Road Transportation,Heavy-Duty Diesel Vehicles,2462.3322,2352.9661,2336.838,2517.6858,2763.39,2838.4871,2924.0748,3040.242,3317.6398,3360.7618,3630.414,3617.4686,3754.7506,3885.1139,4196.6376,4422.0167,4526.448,4682.2668,4623.798,4582.7197,4901.0717,5469.1567,4863.3831,5404.4287
ENERGY,Transport,Road Transportation,Propane and Natural Gas Vehicles,786.4786,772.4441,583.7045,491.3747,624.1054,573.0835,408.4358,402.7995,483.8837,312.95,331.1406,320.1011,289.1511,262.9812,260.826,194.4776,192.3224,227.2669,253.8987,208.1264,217.559,213.9064,205.4562,181.0146
ENERGY,Transport,Railways,,1447.4239,1403.9303,1612.0755,1639.7727,1656.5785,1657.5002,1593.2358,1444.2477,1378.0644,1399.5211,1276.2206,1056.516,869.4498,574.1936,402.8421,434.8761,424.3748,426.0419,661.065,445.7611,517.2153,679.544,693.3481,539.4822
ENERGY,Transport,Domestic Navigation,,1031.4889,1133.5141,1149.8561,1146.1165,1178.0987,1240.1926,1166.7191,1042.3338,1021.2296,1131.8655,1246.0424,1579.7321,1888.3123,3010.757,2655.0085,2521.8669,2534.2715,2648.169,2604.7328,2688.5786,2727.4667,2281.5058,2693.1146,2206.7991
ENERGY,Transport,Other Transportation,Off-Road Gasoline,355.7884,356.1129,371.5239,372.2602,397.5726,427.1732,536.6887,688.6403,831.1798,617.6854,497.4113,434.3658,436.1395,464.6993,724.1531,454.8151,450.1514,448.8413,356.3891,259.2246,350.1851,426.3948,727.029,395.8892
ENERGY,Transport,Other Transportation,Off-Road Diesel,2257.5036,2354.4481,2389.1964,2250.2371,2367.8614,2959.8882,3315.0282,3630.3884,3119.0022,3204.1475,3020.7228,3140.6854,3205.3302,3919.6729,3988.3666,3572.0246,3450.2483,3542.9975,4109.2579,2205.4337,2713.5597,1824.7473,3051.1892,3432.0755
ENERGY,Transport,Other Transportation,Pipeline Transport ,863.251,1115.9735,1058.4475,1136.8557,1262.2456,1397.2463,1522.6094,1458.4469,1591.3884,1419.0426,1668.8392,1880.7883,1371.3118,1071.325,1141.2147,997.9675,781.033,941.3661,902.5923,875.6181,843.4596,813.1536,806.2766,936.0851
ENERGY,Fugitive Sources,Coal Mining ,,836.0106,834.4559,576.2987,752.0071,944.8274,913.8971,968.3382,997.8536,874.191,810.8009,812.4141,880.6184,809.2562,748.406,864.9019,953.475,790.4979,882.6871,849.5965,754.5606,924.3006,927.9109,1019.1159,1095.0054
ENERGY,Fugitive Sources,Oil and Natural Gas,,3278.6331,3174.501,3388.6399,3144.3012,4183.5618,4486.7194,4938.5442,5089.0654,5131.1151,4946.7609,4918.5213,5048.1626,4597.2824,4514.286,4285.7228,4396.3547,4263.5167,4165.8408,4619.4793,4172.4797,3937.5317,4485.2412,4210.248,4277.3249
ENERGY,CO2 Transport and Storage ,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
INDUSTRIAL PROCESSES & PRODUCT USE,Mineral Products,Cement Production,,649.3262,539.9796,610.9633,632.047,728.5851,805.19,771.0799,915.3874,919.2865,1124.9845,1122.5996,1083.6148,1128.912,1134.8658,1244.6868,1258.6074,1219.908,1254.9237,1128.126,905.3912,988.261,991.2346,1073.8255,978.868
INDUSTRIAL PROCESSES & PRODUCT USE,Mineral Products,Lime Production,,161.5998,163.8717,166.199,180.7248,186.0245,192.0977,186.1757,194.7324,194.7492,203.997,217.7602,194.2477,200.6412,177.1187,190.7435,181.0219,166.0458,161.6441,156.807,137.4247,164.8327,171.7813,173.8957,158.85
INDUSTRIAL PROCESSES & PRODUCT USE,Mineral Products,Mineral Products Use,,61.6705,67.8287,61.4557,60.9689,65.1252,49.0644,52.9009,62.4787,45.2728,44.4469,57.8645,46.9576,47.3003,42.3992,50.1451,50.6452,53.3833,48.6491,41.0413,31.7714,24.6674,25.0959,21.4361,22.201
INDUSTRIAL PROCESSES & PRODUCT USE,Chemical Industry,Nitric Acid Production,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
INDUSTRIAL PROCESSES & PRODUCT USE,Chemical Industry,Adipic Acid Production,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
INDUSTRIAL PROCESSES & PRODUCT USE,Chemical Industry,Petrochemical Production,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
INDUSTRIAL PROCESSES & PRODUCT USE,Metal Production,Iron and Steel Production,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
INDUSTRIAL PROCESSES & PRODUCT USE,Metal Production,Aluminum Production,,1665.0189,1822.1886,1821.3952,1825.4488,1802.3981,1876.5642,1949.2762,1998.9115,2302.7893,2080.8796,2025.7139,1410.7116,1172.6729,1356.1979,1498.9795,1223.4036,1088.3881,1190.3502,1249.9169,1252.2791,847.2779,847.2779,885.4941,758.4984
INDUSTRIAL PROCESSES & PRODUCT USE,Metal Production,SF6 Used in Magnesium Smelters and Casters,,- ,- ,- ,- ,- ,- ,- ,- ,0,1,1,1,2,2,3,1,1,1,2,1,1,1,1,1
INDUSTRIAL PROCESSES & PRODUCT USE,"Production and Consumption of Halocarbons, SF6 and NF33",,,57,57,57,57,57,175.4782,235.1986,304.8389,390.7467,465.9328,555.7192,627.3599,650.3884,736.9248,777.4745,817.066,849.3303,867.7386,892.876,911.0808,933.7526,932.2955,987.1935,1024.1611
INDUSTRIAL PROCESSES & PRODUCT USE,Non-Energy Products from Fuels and Solvent Use ,,,258.6786,232.4413,237.3817,238.7689,303.077,315.3255,364.87,453.1105,353.8496,402.8121,632.7437,561.4989,702.3719,756.6984,953.4,775.4335,581.849,671.5776,719.0234,712.4678,707.6556,447.574,446.3539,461.9983
INDUSTRIAL PROCESSES & PRODUCT USE,Other Product Manufacture and Use ,,,20.4109,19.66,16.6624,19.0586,21.3714,26.3405,27.2485,29.2043,50.9699,51.9411,56.8846,52.996,48.4435,55.7993,50.9482,47.2926,41.2322,40.9282,42.9633,32.9983,31.5183,33.7876,42.7664,38.5712
AGRICULTURE,Enteric Fermentation,,,1403.3049,1444.7183,1513.841,1504.3811,1560.703,1638.1167,1658.054,1631.6884,1599.6508,1688.1689,1709.0297,1728.6228,1765.3095,1820.365,1869.4958,1845.5628,1707.6854,1618.8906,1545.2831,1420.9724,1356.2376,1337.0432,1349.3085,1354.137
AGRICULTURE,Manure Management,,,434.4792,441.3794,452.3198,454.2378,471.578,486.8544,492.3823,493.4794,488.1607,502.7009,510.9563,521.467,529.5729,537.4737,544.1261,534.6146,509.9218,495.3376,486.6235,469.0733,459.8329,457.3627,454.8517,458.3732
AGRICULTURE,Agriculture Soils,Direct Sources,,399.261,325.7744,371.6153,387.3029,372.9725,364.1723,369.1285,396.9093,321.8493,371.1173,339.5994,384.9732,345.3647,364.9004,358.5272,364.5894,300.634,356.3004,348.808,329.3842,346.0148,342.6329,318.9215,371.0381
AGRICULTURE,Agriculture Soils,Indirect Sources,,103.6419,92.4372,105.8868,107.7733,107.0729,105.4195,105.9293,113.8576,98.0869,108.7116,106.0274,117.0118,108.2467,114.5764,115.0341,113.9776,97.9459,107.255,104.5966,97.2149,99.2743,95.7175,92.3624,100.5365
AGRICULTURE,Field Burning of Agricultural Residues,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
AGRICULTURE,"Liming, Urea Application and Other Carbon-containing Fertilizers ",,,25.1422,22.9141,29.2741,30.6079,30.0887,23.6802,25.872,27.9277,37.3224,28.4894,37.9169,30.2487,27.5444,26.6955,25.7253,23.76,16.1773,15.51,15.2368,13.2,13.9333,25.0507,23.4772,23.4772
WASTE,Solid Waste Disposal on Land,,,4108.6977,4356.4874,4445.0385,4417.5413,4475.5524,4544.0354,4821.5102,4836.5761,4780.7162,4726.8543,4839.1352,4951.3652,4977.7182,4999.7405,4948.4523,4902.1893,5034.0618,5087.7733,5109.1012,5173.1393,5078.9171,5066.4285,4775.6244,4626.7593
WASTE,Wastewater Handling,,,96.0286,99.2973,102.4312,106.3701,110.2495,113.9645,116.9616,120.5804,122.3775,124.0018,125.6315,127.9224,128.4063,128.0017,129.4936,129.5702,130.848,133.2562,132.8781,134.275,136.5953,136.9135,138.2104,138.9413
WASTE,Waste Incineration,,,80.9452,85.1525,86.9373,88.7821,89.5298,89.6951,89.376,90.0316,89.0601,86.0257,86.5659,83.291,82.9043,81.8813,80.4969,78.7389,76.8421,74.7597,72.2918,69.7038,67.3702,65.9672,64.1352,62.4406
AFFORESTATION & DEFORESTATION,Deforestation,,,5243.216,5197.935,4855.8993,4662.8969,4448.9338,4424.5384,3990.2415,3946.2968,3787.8655,3832.6567,3722.2282,4004.7834,3422.9203,3348.6136,3323.5917,3312.8001,3231.3606,3216.9343,3039.3273,3094.4378,3131.8983,3221.1738,3242.9812,3143.4919
AFFORESTATION & DEFORESTATION,Afforestation,,,0,0,0.1015,0.4599,1.0421,1.4833,0.9755,0.2008,-0.7733,-1.8319,-3.0315,-4.1996,-5.4132,-6.4372,-7.3806,-9.0406,-11.1099,-12.8653,-13.8811,-16.212,-18.4158,-20.5302,-21.5269,-20.5824
AFFORESTATION & DEFORESTATION,Grassland converted to Cropland,,,1.8467,1.6573,1.4852,1.1308,0.9512,1.1168,1.3794,1.6021,1.8191,2.014,1.862,1.837,1.9096,1.9606,2.0682,2.1449,2.3071,2.328,2.1615,2.0235,1.8789,1.7344,1.5899,1.5027
AFFORESTATION & DEFORESTATION,Other Land converted to Wetlands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER LAND USE ,Forest Management,Forest growth minus decay,,-106367.3219,-107224.532,-107221.3636,-107561.1303,-107422.3082,-106898.9938,-107658.2639,-109044.3427,-109541.336,-109535.6535,-109263.5671,-109007.196,-104442.7613,-97319.7277,-83724.6257,-71640.1811,-55384.4092,-46553.2964,-47991.8886,-48163.1231,-45031.4329,-47076.1442,-49228.8391,-52558.019
OTHER LAND USE ,Forest Management,Slash pile burning,,6043.0372,9493.6133,8922.3143,9454.9841,8215.6259,8024.8991,7700.831,7340.5238,6811.3188,7934.5304,7890.3921,7387.0573,7723.2166,6865.3311,9188.9651,9135.2004,8982.4384,8614.144,7829.8219,8076.1815,7956.1654,8020.1276,8132.3209,8144.107
OTHER LAND USE ,Forest Management,Wildfires,,11751.3719,4521.3264,5650.6442,838.9534,5299.8355,10170.2345,2630.2818,473.099,16061.1457,2764.7087,1168.801,2207.2172,722.6189,56307.2937,37737.739,7409.1089,25891.7848,7713.332,6184.6563,46115.8138,67034.0365,2850.3814,17273.0009,5188.0569
OTHER LAND USE ,Forest Management,Emissions from Decomposition of Harvested Wood Products,,28492.7567,33134.2732,40054.6214,42719.2379,44224.5714,46073.117,44419.8738,43620.6413,40751.1952,44652.5111,47696.5878,42087.8583,44870.5359,38953.6551,50058.6232,49782.32,45326.8902,44294.4021,44191.7477,41483.7614,46477.1034,49697.4775,50414.563,45966.4759
OTHER LAND USE ,Cropland Management,,,10.9694,3.9277,50.5292,51.7725,63.3031,68.3056,70.3775,72.5928,71.1284,71.3217,69.2548,71.4299,73.6663,72.3127,74.7501,74.508,72.6805,108.5388,109.9778,114.5084,121.6579,135.7011,150.4072,165.3021
OTHER LAND USE ,Wetland Management,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER LAND USE ,Grassland Management,,,0,0,5.9643,0,0,0,1.5905,0,4.7714,0,0.5964,6.0438,4.7714,27.0382,26.8394,65.9652,3.9762,0.2386,65.7266,0,5.9643,10.7357,2.672,17.0197
OTHER LAND USE ,Settlement Management,,,-565.621,-563.4803,-561.3396,-559.1988,-557.0581,-554.9174,-552.7767,-550.636,-548.4952,-546.3545,-544.2138,-542.0731,-539.9324,-537.7916,-535.6509,-533.5102,-531.3695,-529.2288,-527.088,-524.9473,-522.8066,-520.6659,-518.5252,-518.5252
